type,type1,type2,interpretation,interpretation1,interpretation2,accuracy,accuracy1,accuracy2,legitemizing power,legitemizing power1,legitemizing power2
message,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,0
symbolic,symbolic,symbolic,war,war,war,1,1,0,0,0,1
message,message,message,auspiciousness,auspiciousness,non-predictive,-1,-1,non-predictive,0,0,0
symbolic,symbolic,symbolic,death,death,death,1,1,0,0,0,0
message,message,message,politics,politics,politics,1,1,1,1,0,1
symbolic,symbolic,symbolic,disaster,disaster,disaster,0,0,0,0,0,0
straight,message,straight,person find,disaster,person find,1,1,1,0,0,0
straight,symbolic,straight,person find,miscellaneous,person find,1,0,1,0,0,0
straight,straight,straight,person find,person find,person find,1,1,1,0,0,0
symbolic,symbolic,symbolic,politics,non-predictive,location,non-predictive,non-predictive,0,1,0,1
message,message,symbolic,politics,miscellaneous,non-predictive,non-predictive,0,0,0,1,1
symbolic,symbolic,symbolic,politics,non-predictive,miscellaneous,non-predictive,non-predictive,non-predictive,0,0,1
symbolic,symbolic,straight,disaster,disaster,miscellaneous,1,0,1,0,0,1
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,1
symbolic,symbolic,symbolic,disaster,disaster,non-predictive,0,0,0,0,0,0
message,message,symbolic,disaster,disaster,disaster,1,1,1,0,0,0
symbolic,symbolic,symbolic,death,death,death,1,1,1,0,0,0
symbolic,symbolic,symbolic,disaster,disaster,miscellaneous,1,0,1,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,0,0
straight,symbolic,straight,location,location,person find,1,1,1,0,0,0
message,message,message,politics,miscellaneous,politics,1,1,1,0,1,0
symbolic,symbolic,symbolic,disaster,disaster,disaster,1,1,1,0,0,0
message,message,message,politics,disaster,politics,1,1,1,0,0,1
message,message,message,death,non-predictive,death,1,non-predictive,1,0,0,0
straight,symbolic,straight,death,miscellaneous,miscellaneous,1,1,1,0,0,0
message,message,message,politics,miscellaneous,death,0,0,1,0,1,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,0
message,message,message,death,disaster,Illness,1,1,1,0,0,0
symbolic,symbolic,symbolic,non-predictive,disaster,disaster,non-predictive,0,0,0,0,0
symbolic,symbolic,symbolic,auspiciousness,miscellaneous,auspiciousness,1,0,1,1,0,1
symbolic,symbolic,symbolic,politics,politics,politics,1,1,1,1,0,1
symbolic,symbolic,symbolic,auspiciousness,politics,politics,1,1,1,1,1,1
message,symbolic,message,non-predictive,non-predictive,auspiciousness,non-predictive,non-predictive,1,0,0,1
symbolic,message,message,disaster,illness,disaster,1,1,1,0,0,0
straight,symbolic,symbolic,disaster,death,death,1,1,non-predictive,0,0,0
straight,symbolic,straight,death,death,death,1,1,1,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,1
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,1
symbolic,symbolic,symbolic ,disaster,disaster,miscellaneous,1,1,1,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,auspiciousness,1,1,1,1,1,1
symbolic,symbolic,symbolic,non-predictive,miscellaneous,non-predictive,non-predictive,non-predictive,non-predictive,1,0,1
symbolic,symbolic,straight,war,war,career,1,1,1,0,0,1
symbolic,symbolic,symbolic,war,non-predictive,miscellaneous,1,non-predictive,0,0,0,1
message,message,message,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,0,0,0
straight,straight,straight,illness,illness,death,1,1,1,0,0,0
straight,symbolic,symbolic,disaster,injury,disaster,1,1,0,0,0,0
message,message,straight,death,war,miscellaneous,1,1,1,0,0,0
symbolic,symbolic,straight,war,miscellaneous,career,1,1,1,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,0,1
symbolic,straight,symbolic,non-predictive,ability,non-predictive,non-predictive,1,non-predictive,0,0,0
symbolic,message,symbolic,career,career,career,1,1,1,0,0,0
message,message,straight,career,career,career,1,1,1,0,1,0
symbolic,symbolic,symbolic,career,career,career,1,1,1,0,0,0
symbolic,symbolic,straight,death,death,death,1,1,1,0,0,1
message,message,message,politics,non-predictive,career,1,non-predictive,0,1,1,1
symbolic,symbolic,straight,politics,non-predictive,career,1,non-predictive,1,0,0,1
symbolic,symbolic,symbolic,auspiciousness,politics,career,1,1,0,1,1,1
straight,person,symbolic,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,0,0,0
symbolic,symbolic,symbolic,auspiciousness,non-predictive,career,1,non-predictive,non-predictive,0,0,0
symbolic,symbolic,symbolic,politics,non-predictive,non-predictive,1,non-predictive,non-predictive,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,0
symbolic,symbolic,symbolic,politics,politics,non-predictive,1,1,non-predictive,0,1,1
straight,symbolic,straight,miscellaneous,miscellaneous,miscellaneous,1,1,1,0,0,0
message,message,message,illness,illness,Illness,1,1,-1,0,0,0
straight,straight,straight,illness,illness,Illness,1,1,1,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,0,0,0
symbolic,symbolic,symbolic,non-predictive,non-predictive,death,non-predictive,non-predictive,0,0,0,0
straight,person,symbolic,politics,non-predictive,career,1,non-predictive,non-predictive,1,0,0
symbolic,symbolic,symbolic,war,politics,career,1,0,0,0,0,0
symbolic,symbolic,symbolic,auspiciousness,miscellaneous,miscellaneous,1,0,0,0,0,0
symbolic,symbolic,straight,ability,ability,miscellaneous,1,1,1,0,0,0
message,message,straight,politics,politics,career,1,1,1,0,0,1
straight,symbolic,straight,illness,illness,Illness,1,1,1,0,0,0
message,message,straight,death,illness,death,1,1,1,0,0,0
symbolic,person,straight,miscellaneous,non-predictive,career,non-predictive,non-predictive,1,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,0,0,0
symbolic,message,straight,career,career,career,1,0,0,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,1
symbolic,symbolic,symbolic,career,career,career,1,1,1,0,0,0
symbolic,symbolic,symbolic,career,career,career,1,1,1,0,0,0
symbolic,symbolic,symbolic,war,non-predictive,non-predictive,1,non-predictive,non-predictive,0,0,0
straight,symbolic,straight,war,disaster,career,1,1,1,0,0,1
message,message,message,illness,miscellaneous,death,1,1,1,0,0,0
message,message,straight,career,career,career,1,1,1,0,0,0
straight,straight,straight,career,career,career,1,1,1,0,0,0
straight,person,straight,miscellaneous,miscellaneous,person find,1,1,1,0,0,0
symbolic,symbolic,symbolic,disaster,miscellaneous,career,1,1,0,0,0,0
symbolic,message,symbolic,war,war,non-predictive,1,1,non-predictive,0,0,0
message,person,symbolic,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,0,0,0
message,symbolic,straight,death,disaster,death,1,1,1,0,0,0
message,person,symbolic,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,0,1,1,1,1
message,person,symbolic,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,0,0,0
symbolic,symbolic,symbolic,death,death,death,1,0,0,0,0,0
symbolic,symbolic,symbolic,ability,ability,Ability,1,1,0,0,0,0
symbolic,symbolic,symbolic,ability,ability,Ability,1,1,0,0,0,0
message,message,symbolic,miscellaneous,miscellaneous,death,1,1,non-predictive,0,0,0
symbolic,symbolic,symbolic,career,career,non-predictive,1,1,non-predictive,1,1,0
message,message,message,career,miscellaneous,non-predictive,-1,1,non-predictive,0,0,0
message,message,straight,war,war,war,1,1,1,0,0,0
message,message,message,miscellaneous,miscellaneous,non-predictive,1,1,non-predictive,0,0,0
message,symbolic,symbolic,non-predictive,non-predictive,death,non-predictive,non-predictive,non-predictive,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,1
symbolic,symbolic,straight,pregnancy,career,pregnancy,1,1,1,1,1,0
message,symbolic,message,auspiciousness,miscellaneous,auspiciousness,-1,-1,non-predictive,0,0,0
message,message,symbolic,politics,miscellaneous,non-predictive,-1,0,non-predictive,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,0,0
straight,message,symbolic,death,location,non-predictive,1,1,non-predictive,0,0,0
symbolic,symbolic,symbolic,ability,ability,Ability,1,1,0,0,0,0
symbolic,symbolic,straight,career,career,career,1,1,1,0,0,0
message,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,1
symbolic,symbolic,symbolic,pregnancy,pregnancy,non-predictive,1,1,non-predictive,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,1,1,1
symbolic,symbolic,symbolic,career,career,career,1,1,0,0,0,0
message,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,0,0,0
symbolic,symbolic,straight,pregnancy,pregnancy,pregnancy,1,1,1,0,0,0
symbolic,symbolic,straight,death,death,death,1,1,1,0,0,0
symbolic,symbolic,straight,war,war,war,1,1,1,0,0,1
straight,person,straight,person find,miscellaneous,person find,1,1,1,0,0,0
message,message,message,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,non-predictive,0,0,0
symbolic,symbolic,symbolic,career,miscellaneous,miscellaneous,1,1,0,1,0,0
message,symbolic,symbolic,pregnancy,pregnancy,miscellaneous,1,1,0,0,0,0
symbolic,symbolic,symbolic,illness,miscellaneous,Illness,0,1,1,0,0,0
symbolic,symbolic,symbolic,pregnancy,pregnancy,pregnancy,1,1,1,0,0,0
message,message,straight,location,location,person find,1,1,1,0,0,0
straight,symbolic,symbolic,person find,miscellaneous,non-predictive,1,1,non-predictive,0,0,0
symbolic,symbolic,symbolic,war,miscellaneous,non-predictive,1,1,non-predictive,0,0,0
message,straight,symbolic,politics,non-predictive,miscellaneous,1,non-predictive,0,0,0,0
message,message,symbolic,non-predictive,miscellaneous,non-predictive,non-predictive,1,non-predictive,0,0,0
straight,straight,straight,location,miscellaneous,miscellaneous,1,1,1,0,0,0
symbolic,symbolic,symbolic,pregnancy,pregnancy,pregnancy,1,1,0,0,0,0
message,person,symbolic,non-predictive,miscellaneous,death,non-predictive,0,0,0,0,0
